Hack in to replace usual readline with this
SSS FIXME: Do we need to check if l is same as whatever popped?,src/org/jruby/compiler/ir/IR_ExecutionScope.java,dc0b3a049,8dff5b2a5
FIXME: Consider fixing node_assign itself rather than single case,truffle/src/main/java/org/jruby/truffle/parser/parser/RubyParser.java,fa938c4c7,8b6eec17d
// FIXME: I think we need these pushed somewhere?
// if body is a rescue node, inspect its pieces separately to avoid it disabling all optz
// TODO: Make DynamicMethod immutable
// Must be called from main thread (it is currently
// TODO: Only used by interface implementation,src/org/jruby/javasupport/util/RuntimeHelpers.java,132d0a520,bb98e4b8d
// SSS FIXME: Should I have a reference to the IR_loop that is being retried?
// FIXME: No, I don't like it.,src/org/jruby/runtime/CallbackFactory.java,b14d1b95c,4a8330815
// TODO: confirm expected args are IRubyObject (or similar)
// SSS FIXME: Can this return anything other than nil?,src/org/jruby/compiler/ir/IRBuilder.java,f9c3ccc4a,214b11c51
FIXME: finalizer should be dupped here,src/org/jruby/RubyObject.java,fa021e635,fd0fa789b
// using IOOutputStream may not be the most performance way
// FIXME: bit of a kludge here (non-interface classes assigned to both,core/src/main/java/org/jruby/javasupport/binding/ClassInitializer.java,be3134444,55927e21e
// This is a fairly specific hack for empty string
// TODO: decompose getJavaPackageModule so we don't parse fullName
// The following three methods must be defined fast
// TODO: turn off the negative? will return -0.0 in lax mode
// TODO: why are we duplicating the constants here,src/org/jruby/RubyFile.java,cd64ee383,00633ae67
// FIXME we want to eliminate these type casts when possible
// TODO: This probably isn't the best hack,src/org/jruby/runtime/ThreadContext.java,d5917ab01,fd0fa789b
// SSS FIXME: Is this correct?,core/src/main/java/org/jruby/ir/IRScope.java,ce466f285,cba0983f0
// FIXME: Determine if a real allocator is needed here. Do people want to extend,jruby/core/src/main/java/org/jruby/java/addons/ClassJavaAddons.java,f9b28c47d,14226fded
// TODO: Determine whether we should perhaps store non-singleton class,src/org/jruby/internal/runtime/methods/DynamicMethod.erb,f9b01edcd,885e23521
// TODO: get rid of this (lax returns 0.0
// SSS FIXME: Does int suffice
// FIXME: This table will get moved into POSIX library so we can get all actual supported,src/org/jruby/RubyProcess.java,c3af7f127,2f1445af0
// hack to get right style for input
// TODO: make this an array so it's not as much class metadata,src/org/jruby/java/MiniJava.java,ba40f9ccd,02b8e01b4
// FIXME: shouldn't need @__java_ovrd_methods
// FIXME: If true array is common enough we should pre-allocate and stick somewhere,src/org/jruby/RubyObject.java,8868926c9,6eb8df5bd
// TODO: eliminate?
// Workaround for a bug in Sun's JDK 1.5.x,src/org/jruby/ext/socket/RubySocket.java,eb1f44e4b,606bd2e15
// Object#to_a is obsolete. We match Ruby's hack until to_a goes away. Then we can,truffle/src/main/java/org/jruby/truffle/parser/Helpers.java,fa938c4c7,277af88f8
// TODO? I think this ends up propagating from normal Java exceptions,src/org/jruby/RubyIO.java,66b024fed,b97e02246
Process streams get Channel.newChannel()ed into FileChannel but are not actually
// FIXME: Remove this from grammars.
FIXME: any good reason to have two identical methods? (same as remove_class_variable),src/org/jruby/RubyModule.java,95c346df5,632441f33
